"DATA (CET)";"ORA (CET)";"PRESSIONE (hPa)";"TEMPERATURA (gradi centigradi)";"DIR VENTO (gradi nord)";"VEL VENTO (km/h)";"UMIDITA REL (%)";"PRECIPITAZIONE ACCUMUL (mm)";"INSOLAZIONE (ore)"
14/01/1990;13.00;1025.5;6.7;270.0;6.0;55;;1.0
14/01/1990;14.00;1025.1;7.8;270.0;10.0;56;;1.0
14/01/1990;15.00;1025.0;8.9;270.0;8.0;57;;1.0
14/01/1990;16.00;1025.0;8.2;270.0;7.0;59;;0.5
14/01/1990;17.00;1024.8;5.6;270.0;8.0;70;;
14/01/1990;18.00;1024.8;3.9;292.5;11.0;99;;
14/01/1990;19.00;1025.0;3.0;292.5;12.0;100;;
14/01/1990;20.00;1025.1;2.4;292.5;9.0;100;;
14/01/1990;21.00;1025.2;2.1;292.5;9.0;100;;
14/01/1990;22.00;1025.4;2.0;315.0;11.0;94;;
14/01/1990;23.00;1025.5;2.0;315.0;9.0;83;;
15/01/1990;00.00;1025.6;1.8;315.0;9.0;80;;
15/01/1990;01.00;1025.8;1.7;337.5;12.0;65;;
15/01/1990;02.00;1026.2;1.8;0.0;11.0;67;;
15/01/1990;03.00;1026.3;1.3;0.0;13.0;71;;
15/01/1990;04.00;1026.4;1.0;0.0;12.0;70;;
15/01/1990;05.00;1026.4;0.7;0.0;12.0;67;;
15/01/1990;06.00;1026.6;1.1;0.0;12.0;64;;
15/01/1990;07.00;1026.7;1.0;0.0;12.0;63;;
15/01/1990;08.00;1027.0;0.8;0.0;12.0;61;;
15/01/1990;09.00;1027.9;2.0;0.0;11.0;58;;0.9
15/01/1990;10.00;1028.2;3.6;0.0;11.0;55;;1.0
15/01/1990;11.00;1028.2;6.2;0.0;10.0;50;;1.0
15/01/1990;12.00;1028.0;8.3;0.0;8.0;46;;1.0
15/01/1990;13.00;1027.6;9.8;337.5;6.0;39;;1.0
15/01/1990;14.00;1027.5;11.4;337.5;6.0;31;;1.0
15/01/1990;15.00;1027.0;11.9;315.0;4.0;50;;1.0
15/01/1990;16.00;1026.7;11.0;270.0;5.0;41;;1.0
15/01/1990;17.00;1026.8;8.4;270.0;5.0;50;;0.5
15/01/1990;18.00;1027.0;6.7;270.0;8.0;70;;
15/01/1990;19.00;1027.2;4.9;270.0;10.0;89;;
15/01/1990;20.00;1027.6;4.2;270.0;9.0;80;;
15/01/1990;21.00;1027.9;3.5;292.5;9.0;98;;
15/01/1990;22.00;1028.2;3.0;292.5;8.0;100;;
15/01/1990;23.00;1028.4;1.9;292.5;6.0;100;;
16/01/1990;00.00;1028.7;1.2;292.5;5.0;100;;
16/01/1990;01.00;1028.8;1.0;292.5;7.0;100;;
16/01/1990;02.00;1029.0;0.8;292.5;5.0;100;;
16/01/1990;03.00;1029.2;1.0;292.5;5.0;100;;
16/01/1990;04.00;1029.2;-0.3;292.5;4.0;100;;
16/01/1990;05.00;1029.2;-1.3;315.0;5.0;100;;
16/01/1990;06.00;1029.2;-1.8;337.5;3.0;98;;
16/01/1990;07.00;1029.1;-2.2;337.5;3.0;100;;
16/01/1990;08.00;1029.4;-2.0;337.5;4.0;100;;
16/01/1990;09.00;1029.9;-0.2;337.5;3.0;88;;0.5
16/01/1990;10.00;1030.6;1.8;337.5;4.0;79;;0.7
16/01/1990;11.00;1030.6;3.0;337.5;3.0;73;;
16/01/1990;12.00;1030.3;4.5;225.0;3.0;77;;
16/01/1990;13.00;1030.2;4.0;315.0;5.0;67;;
16/01/1990;14.00;1029.5;5.6;225.0;3.0;64;;0.8
16/01/1990;15.00;1029.1;6.4;180.0;3.0;76;;1.0
16/01/1990;16.00;1029.0;6.0;180.0;5.0;73;;1.0
16/01/1990;17.00;1028.8;4.4;180.0;3.0;78;;0.2
16/01/1990;18.00;1028.8;3.1;292.5;3.0;96;;
16/01/1990;19.00;1028.8;2.7;292.5;5.0;100;;
16/01/1990;20.00;1029.0;2.9;292.5;7.0;99;;
16/01/1990;21.00;1029.0;3.0;292.5;7.0;100;;
16/01/1990;22.00;1029.1;2.8;337.5;7.0;100;;
16/01/1990;23.00;1029.1;2.4;337.5;7.0;97;;
17/01/1990;00.00;1029.2;2.0;337.5;8.0;100;;
17/01/1990;01.00;1029.4;1.7;337.5;8.0;100;;
17/01/1990;02.00;1029.4;1.0;337.5;5.0;100;;
17/01/1990;03.00;1029.2;0.9;337.5;5.0;100;;
17/01/1990;04.00;1029.2;1.2;337.5;7.0;100;;
17/01/1990;05.00;1029.2;0.8;337.5;5.0;97;;
17/01/1990;06.00;1029.2;0.2;337.5;5.0;99;;
17/01/1990;07.00;1029.1;0.0;337.5;6.0;100;;
17/01/1990;08.00;1029.1;0.2;315.0;6.0;98;;
17/01/1990;09.00;1029.1;1.0;315.0;5.0;97;;
17/01/1990;10.00;1029.2;2.3;315.0;6.0;81;;
17/01/1990;11.00;1029.1;4.0;337.5;6.0;64;;0.8
17/01/1990;12.00;1028.4;5.8;315.0;5.0;61;;1.0
17/01/1990;13.00;1027.6;7.5;292.5;4.0;60;;1.0
17/01/1990;14.00;1026.8;7.1;225.0;5.0;69;;1.0
17/01/1990;15.00;1026.4;7.0;225.0;5.0;80;;0.6
17/01/1990;16.00;1025.9;6.3;225.0;5.0;87;;
17/01/1990;17.00;1025.6;4.4;225.0;6.0;98;;
17/01/1990;18.00;1025.4;3.3;225.0;4.0;100;;
17/01/1990;19.00;1025.2;2.8;225.0;4.0;100;;
17/01/1990;20.00;1025.2;2.3;225.0;3.0;100;;
17/01/1990;21.00;1025.1;2.1;247.5;5.0;99;;
